Question,Option1,Option2,Option3,Option4,Answer
What is a computer?,An electronic device,A mechanical tool,A type of software,A programming language,1
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Personal Unit,Central Power Unit,2
Which device is used for input?,Monitor,Keyboard,Printer,Speaker,2
Which of the following is an output device?,Mouse,Keyboard,Monitor,Scanner,3
What is RAM?,Read Access Memory,Random Access Memory,Run Access Memory,Read Only Memory,2
Which is the brain of the computer?,RAM,Hard Disk,CPU,Monitor,3
What is software?,Physical parts of computer,Programs and applications,Input device,Output device,2
Which storage device is used to store data permanently?,RAM,Cache,Hard Disk,Register,3
What does WWW stand for?,World Wide Web,World Web Wide,Wide World Web,Web World Wide,1
Which one is an operating system?,MS Word,Windows,Excel,PowerPoint,2
