Question,Option1,Option2,Option3,Option4,Answer
What is malloc()?,Reads file,Allocates memory dynamically,Closes file,Prints output,2
What is a file?,Temporary memory,Collection of stored data,Loop,Function,2
What is continue statement?,Stops loop,Skips iteration,Ends program,Declares variable,2
What is global variable?,Inside function variable,Accessible everywhere,Loop variable,Constant,2
What is fprintf()?,Reads input,Writes formatted data to file,Closes file,Allocates memory,2
What is break statement?,Skips iteration,Exits loop,Starts loop,Prints value,2
What is local variable?,Global variable,Function-specific variable,Constant,Operator,2
What is fclose()?,Opens file,Closes file,Reads file,Writes file,2
What is EOF?,Start of file,End of file,Loop control,Function,2
What is dynamic memory allocation?,Compile time memory,Runtime memory allocation,Loop,Condition,2
What is return statement?,Starts loop,Sends value back,Declares variable,Ends program,2
What is fopen()?,Closes file,Opens file,Reads file,Deletes file,2
What is static variable?,Temporary variable,Retains value between calls,Loop variable,Constant,2
What is fscanf()?,Writes to file,Reads from file,Closes file,Allocates memory,2
What is loop control statement?,Variable type,Controls loop flow,Function call,Memory block,2
What is void data type?,Stores integer,Represents no value,Loop type,Operator,2
What is lifetime of variable?,Size of variable,Time it exists in memory,Scope,Type,2
What is scope of variable?,Memory size,Access range,Loop count,Function name,2
What is nesting in functions?,Loop inside loop,Function inside function,Condition,Variable,2
What is a global variable?,Declared inside function,Declared outside functions,Loop variable,Constant,2
